species_work,priority,plant_growth_form,life_history,woodiness,fruit_type,fruit_fleshiness,fruit_fleshiness_source,fruit_colour,growth_substrate,plant_height,seed_dry_mass,leaf_mass_per_area,leaf_length,leaf_width,leaf_area,leaf_N_per_dry_mass,seed_length,seed_width,fruit_length,fruit_width,wood_density
Sophora tomentosa,priority,shrub tree,perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,5,118,,29.2,17.8,,,7.39,7.48,120,7.75,
Stylosanthes scabra,,shrub,annual perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,2,2,,12.4,5.29,,,2,,4.58,2.45,
Talinum triangulare,,herb,perennial,herbaceous,,,,,,1,0.1760490161960337,,,,,,,,,,
Themeda arguens,,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,3,,,122,5.29,577,,,,,,
Turnera subulata,,herb,perennial,semi-woody,capsule,dry,Inferred from fruit type,,,2,,,33.9,16.3,,,2.73,,5.32,,
Turraea pubescens,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,5,,45.8,54.1,32,2050,,5.29,3,8.94,13.9,
Wahlenbergia caryophylloides,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.8,0.0159,,,,,,,,,,
Acacia crassicarpa,,tree,perennial,woody,legume,dry,AusTraits consensus,,,25,25.9,78.9,147,21.3,5790,18.7,5.35,2.78,64.5,30,0.549
Acacia simsii,,shrub,perennial,woody,legume,dry,AusTraits consensus,,,4,37.5,,74.2,3.74,,,3.16,,80,4.47,
Acanthospermum hispidum,,herb,annual,herbaceous,achene anthocarp,dry,Inferred from fruit type,black,,1.3,7.4075825011461776,,42.3,17.9,,,,,5.16,2.45,
Syzygium hemilamprum,,tree,perennial,woody,berry,fleshy,AusTraits consensus,white,,35,3700,138,58.8,29.6,3170,8.91,10.6,10.6,13.3,13.6,0.584
Syzygium claviflorum,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,black red,,25,110,105,92.5,37.4,4610,14.5,3,3,11.8,9.49,0.682
Acronychia imperforata,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,orange yellow,,16,18.4,96.7,64.6,30.5,2470,,4.76,2.24,10.6,11.1,0.526
Actephila venusta,,shrub,perennial,woody,capsule,dry,AusTraits consensus,,,12,,,76.7,34.9,,,8.05,3.46,10,10,
Aglaia brownii,,tree,perennial,woody,berry capsule,fleshy,AusTraits consensus,orange,,12,,,94.9,34.6,,,12.6,11.4,23.1,16,
Aglaia euryanthera,,tree,perennial,woody,berry capsule,fleshy,AusTraits consensus,,,12,,,135,54.8,,,18.5,9.54,26.6,17.5,
Aglaia sapindina,,tree,perennial,woody,berry capsule,dry fleshy,AusTraits consensus,orange red,,20,285,74.4,135,63.6,11100,28.8,14.2,7.48,27.6,17.7,0.437
Aglaia ferruginea,,tree,perennial,woody,berry capsule,dry fleshy,AusTraits consensus,,,17,298,51.8,89.4,40.6,,31.2,16.4,9.8,30.1,14.3,0.8
Aidia racemosa,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,15,6.69,,112,38.8,,,2.21,2,8.66,7.07,0.771
Allopterigeron filifolius,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,,,0.4,3.75,,20.1,0.49,,,,,2.19,,
Alloteropsis cimicina,,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,0.546,,47.4,8.94,675,,,,,,
Alstonia actinophylla,,tree,perennial,woody,follicle,dry,AusTraits consensus,,,25,2.4,,53.9,13.7,,19.5,5.48,1,163,4.47,0.41
Alstonia scholaris,,tree,perennial,woody,follicle,dry,AusTraits consensus,,,41,2.24,104,142,49.8,5370,20.7,4.47,1,239,4.9,0.337
Alstonia spectabilis,,tree,perennial,woody,follicle,dry,AusTraits consensus,,,25,2.5,,159,61.2,,,5.97,1,286,9.8,0.604
Alysicarpus ovalifolius,,herb,annual,herbaceous,legume,dry,Inferred from fruit type,,,1,2.0773808161489695,,24.5,14.1,,,,,24,,
Amorphophallus galbra,,herb,perennial,herbaceous,berry,fleshy,AusTraits consensus,,,1,,,,,,,11.4,,13.9,11,
Amyema villiflora,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,orange red,epiphyte,,,,50.4,21.4,,,,,8.49,6.93,
Amylotheca dictyophleba,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,purple red,epiphyte terrestrial,0.5,36,,86.6,34.6,5040,,,,9.12,8.43,
Ancistrachne uncinulata,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2,,,41.2,2.64,67.2,,,,,,
Anthocarapa nitidula,,tree,perennial,woody,capsule,dry,AusTraits consensus,brown yellow,,30,,82.7,101,41.2,29300,,19,13,22.5,26.9,0.664
Antiaris toxicaria,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,red,,28,2440,94.87555153480972,106,51.2,,,23.2,13.4,29.4,15.7,0.327
Antidesma bunius,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,,,10,20.4,66.54445157787411,66.3,30,,,12.7,6.48,17.3,15.9,0.664
Antigonon leptopus,,climber_herbaceous,perennial,herbaceous,nut,dry,Inferred from fruit type,,,8,82.08124036312968,,49,23.5,,,,,,,
Antirhea ovatifolia,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,,,5,,,31.2,15.7,,,10.8,3.46,8.94,11,
Aphyllodium schindleri,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,1.5,,,37,8.49,,,2.63,1.8,5.66,3.46,
Archidendron grandiflorum,,tree,perennial,woody,legume,dry,AusTraits consensus,red,,30,,77.8,65.5,29.1,,,13.5,7.94,159,24.1,0.524
Archidendron hirsutum,,tree,perennial,woody,legume,dry,AusTraits consensus,red,,22,,,79.4,47.4,,,8.67,6.41,100,10,
Arenga australasica,,climber_herbaceous,perennial,semi-woody,berry drupe,fleshy,AusTraits consensus,red,,20,,,566,,,,14.3,,16.1,16.1,
Argyrodendron polyandrum,,tree,perennial,woody,samara,dry,AusTraits consensus,,,45,,,77.5,22.4,,,6.32,6.32,64.8,27.4,0.87
Aristida dominii,,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,,,113,0.5,36,,4.97,,4.97,,
Aristolochia acuminata,,climber_woody,perennial,woody,capsule utricle,dry,AusTraits consensus,,,,4.81,,98.5,77.9,,,8.37,5,41.4,27.4,
Arytera bifoliolata,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,10,,,108,39.2,,,9.46,4.9,11.1,8.32,
Asparagus racemosus,,climber_herbaceous,perennial,herbaceous,berry,fleshy,AusTraits consensus,purple red,,5,37.8,,17.3,1,,,3.87,3.46,5.28,5.96,
Asplenium laserpitiifolium,,fern,perennial,herbaceous,,,,,epiphyte lithophyte,,,,406,212,,,,,,,
Asplenium nidus,,fern,perennial,herbaceous,,,,,epiphyte,1.5,,53.38628810538268,1160,146,600,,,,,,
Asteromyrtus brassii,,tree,perennial,woody,berry capsule,dry fleshy,AusTraits consensus,,,25,0.19,,63.2,8.66,,,2.34,1,14.1,14.1,
Asteromyrtus symphyocarpa,,tree,perennial,woody,berry capsule,dry,AusTraits consensus,,,10,0.191,169,48.9,12,,11.2,,,,12.6,
Atalaya australiana,,tree,perennial,woody,samara,dry,AusTraits consensus,,,20,,,91.7,37.4,,,7.35,4.9,14.6,12,0.732
Atractocarpus sessilis,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,,,15,46.9,,60,139,,,5.73,3.46,38.7,35.4,
Banksia dentata,,tree,perennial,woody,follicle,dry,AusTraits consensus,,,8,27.9,185.32366664548795,161,45.5,,,14.6,6.32,17.3,,
Barringtonia acutangula,,shrub tree,perennial,woody,drupe nut,dry,AusTraits consensus,green,,25,1160,73.9,95.8,35.3,,17.6,20,14.1,34.6,17.3,0.347
Barringtonia calyptrata,,tree,perennial,woody,capsule drupe,dry fleshy,AusTraits consensus,blue green,,30,,,242,72.1,,,27.8,28.3,68.9,51,0.451
Baeckea frutescens,,shrub,perennial,woody,capsule,dry,Inferred from fruit type,,,8,0.366,106,7.09,0.566,33.8,7.2,0.5,,,1.73,
Beilschmiedia obtusifolia,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black,,35,10000,104,91.9,30.3,3490,,16.7,8.94,20.8,12.8,0.622
Berrya javanica,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,25,,,132,72.2,,,5.96,4.47,20.6,21.5,
Biophytum petersianum,,herb,annual,herbaceous,capsule,dry,AusTraits consensus,,,0.2,,,4.47,3.61,,,4,,3.46,2.5,
Brachystelma glabriflorum,,herb,perennial,herbaceous,follicle,dry,Inferred from fruit type,,,0.6,,,22.4,4.47,,,,,8.49,,
Bridelia finalis,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,red,,10,,,109,53.4,,,5.48,2.45,5.48,4.9,
Bridelia tomentosa,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,black,,6,17,97.05804772698055,55.4,24.9,,,3.87,2,5.08,4.32,
Bromheadia pulchra,,herb,perennial,herbaceous,,,,,terrestrial,1,,,122,24.5,,,,,,,
Brucea javanica,,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,,,6,,,77.1,31.9,,,5.48,3.46,6.65,5.48,
Buchnera gracilis,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.6,,,12.8,5.48,,,,,5.2,,
Buchnera linearis,,herb,annual perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.4,0.0328,,26.5,5.83,,,,,,,
Buchnera tetragona,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,,,,,,,,,,,,
Bulbophyllum baileyi,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Burmannia juncea,,herb,annual perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.5,,,9.31,,,,,,,,
Byblis liniflora,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.15,0.098,,40.8,,,,0.742,0.5,3.15,3.46,
Cadetia clausa,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,0.07,,,45.8,12.2,,,,,,,
Dendrobium funiforme,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Cadetia wariana,,herb,perennial,herbaceous,,,,,epiphyte,,,,11,4.47,,,,,,,
Caesia parviflora,priority,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.75,1.61,169,422,3.37,1630,,1.78,1.77,,,
Caesia setifera,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.5,,,350,1.41,,,1.4,1.4,,4.47,
Calophyllum australianum,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,30,5400,,93.2,31.3,3600,,8.66,8.66,9.8,8.83,0.608
Calophyllum sil,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue purple,,37,,,89.4,36.5,,,12.7,8.49,15.2,12.4,
Canarium australianum,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,20,607,108,87.7,,25600,13.8,17.3,11,8.94,,0.487
Canarium vitiense,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,40,650,,120,,4800,,19.8,8.94,22.6,,0.445
Carallia brachiata,,tree,perennial,woody,berry nut,dry fleshy,AusTraits consensus,black pink red,,30,54,36.8,92.8,46.5,5520,27,6.74,4.24,5.92,7.02,0.621
Cartonema baileyi,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,2,,,,,,,,,,,
Cartonema parviflorum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.6,0.495,,,,,,,,,,
Celosia argentea,,herb,annual,herbaceous,utricle,dry,Inferred from fruit type,,,1.5,0.5862799174367253,,54.2,11.8,,,1.24,1.5,3.83,2.45,
Celtis strychnoides,,tree,perennial,woody,drupe,fleshy,Inferred from fruit type,,,4,,,37.4,24.5,,,,,,,
Ceropegia cumingiana,,climber_herbaceous,perennial,herbaceous,follicle,dry,AusTraits consensus,,,3,,,51,33,,,11.8,2.45,204,3.87,
Chamaecrista absus,,herb,annual perennial,semi-woody,legume,dry,Inferred from fruit type,brown,,1.2,21.1,,22.8,13.4,,,4.47,2.84,36.7,6.48,
Cheilanthes nudiuscula,,fern,perennial,herbaceous,,,,,terrestrial,0.36,,,30,,,,,,,,
Chiloschista phyllorhiza,,herb,perennial,herbaceous,,,,,epiphyte lithophyte,,,,,,,,,,,,
Donella lanceolata,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,,,30,,,82.2,22.9,,,22.9,11,53.7,53.7,0.387
Cissus repens,,climber_woody,perennial,woody,berry,fleshy,AusTraits consensus,,,,32,,109,76.5,84000,,7.75,6.48,9.17,10.9,
Clausena brevistyla,,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black blue purple red,,15,72,,67.1,40,,,10.4,7.94,9.36,9.36,
Cleistanthus apodus,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,12,,,59.2,22.2,,,2.83,2.45,8.37,9.8,
Cleistanthus peninsularis,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,16,,,40.2,26.4,,,3.46,2.45,4.58,7.07,
Cochlospermum gillivraei,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,brown,,15,36.9,60.8,81.9,105,,,5,3.46,75.5,45.8,0.3
Codiaeum variegatum,priority,shrub,perennial,woody,capsule,dry,AusTraits consensus,,,5,29.000000000000004,56.8,89.4,22.4,,20,5,3.46,6.71,7.07,0.49
Commelina diffusa,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.4,2.5879917184265,33.4028285465131,54.8,13,,,3.5,,,,
Cordyline fruticosa,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,red,,3,9.148532351774827,,447,77.5,,,3.75,3.08,10,10,
Corymbia nesophila,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,30,6.49,222,125,13.9,,11.4,6.48,,11.6,7.94,0.853
Corymbia novoguinensis,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,25,11,,145,20.5,,,8.94,,,,
Corymbia stockeri,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,20,3.84,,129,14,,,7.35,,,,
Cheilocostus potierae,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,4,,,,,,,,,15,,
Dienia marsupichila,,herb,perennial,herbaceous,,,,,terrestrial,,,,283,70.7,,,,,,,
Crinum pedunculatum,priority,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.45,,,775,86.6,,,29.7,,38.7,35.4,
Crotalaria brevis,,herb,annual perennial,semi-woody,legume,dry,Inferred from fruit type,brown,,0.3,2.27,,10.2,3.32,,,2.06,2,6.4,4.95,
Crotalaria retusa,,herb,annual perennial,herbaceous,legume,dry,Inferred from fruit type,brown grey,,1.5,16.9,,53.1,14.3,,,4.97,3.97,32,11,
Croton arnhemicus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,15,10.7,,113,100,,,5.48,3.46,7.9,7.54,
Cryptocarya bamagana,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black,,15,,,106,38.7,,,6.48,7.48,9.49,9.62,
Cryptocarya brassii,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue,,20,,,109,47.7,,,10,8,14.5,11,
Cryptocarya cunninghamii,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black purple,,25,,,105,41.7,,,10.4,10.8,13.8,14.1,0.645
Cryptocarya exfoliata,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black,,20,,,82,26.6,,,8.77,7.94,11.2,9.54,
Cryptocarya hypospodia,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black,,30,420,110,126,58.1,10300,15.7,11.3,11.2,15.3,14.3,0.555
Cryptocarya triplinervis,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black purple,,30,212,98.7,76.1,27.8,2420,17.3,7.54,6.5,10.3,7.82,0.642
Curcuma australasica,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.5,,,335,116,,,,,,,
Cyanotis axillaris,,herb,annual perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.7,,,49,4.47,,,2.45,1.22,6.7,,
Cycas badensis,,palmoid,perennial,semi-woody,,,,,,8,,,156,6.12,,,32.4,28,,,
Vincetoxicum brachystelmoides,,herb,perennial,herbaceous,follicle,dry,Inferred from fruit type,,,0.35,,,10,,,,,,,,
Cyperus aquatilis,,graminoid,annual,herbaceous,nut,dry,AusTraits consensus,brown white,,0.35,0.0631,,7.75,1.73,,25,0.5,,0.652,0.5,
Cyperus castaneus,,graminoid,annual perennial,herbaceous,nut,dry,AusTraits consensus,black brown red,,0.7,0.0171,,10,1.41,,,0.2,,0.837,0.2,
Cyperus compressus,,graminoid,annual,herbaceous,achene nut,dry,AusTraits consensus,black brown,,0.35,0.342,,17.3,2.72,,,,,1.3,1,
Cyperus cuspidatus,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,,,0.15,0.0509,,,,,,0.63,0.3,,,
Cyperus decompositus,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,2,0.39,,,,,,,,,,
Cyperus eboracensis,,graminoid,perennial,herbaceous,,,,,,,,,,,,,,,,,
Cyperus iria,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,black brown,,0.7,0.175,,1.34,1.22,,,,,1.26,0.665,
Cyperus metzii,,graminoid,annual,herbaceous,,,,,,0.4,,,,,,,,,,,
Cyperus scaber,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,brown red,,0.7,,,,5.66,,,,,2,0.592,
Cyperus squarrosus,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,black brown red,,0.25,0.0416,67.0099999999998,7.48,2.83,,,,,0.775,0.316,
Dapsilanthus spathaceus,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,0.5,0.232,,,,,,,,,,
Davallia denticulata,,fern,perennial,herbaceous,,,,,,0.6,,53.821505440378495,707,260,,,,,,,
Dendrobium discolor,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Dendrobium johannis,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Deplanchea tetraphylla,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,20,,,187,99.5,,,13.5,3.46,93.8,26,0.424
Grona heterocarpos,,herb,perennial,semi-woody,legume,dry,AusTraits consensus,,,2,,,30.7,19.1,,,1.51,1,16.4,2.45,
Grona trichostachya,,herb,annual,herbaceous,legume,dry,Inferred from fruit type,brown yellow,,,,,7.48,7.35,,,1.55,1.34,11,2.24,
Desmos wardianus,,climber_woody,perennial,woody,berry,fleshy,AusTraits consensus,,,,,,52.1,17.3,,,6.7,4.55,21.2,5,
Dianella pavopennacea,,herb,perennial,herbaceous,berry,fleshy,AusTraits consensus,,,1.5,,,255,11.9,,,3.37,,6.38,,
Dictyoneura obtusa,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange yellow,,13,,,55.3,18.7,,,6.96,4.47,8.57,,
Dioscorea bulbifera,,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,5,5.68,24.57289853677552,122,106,,32.1,3.92,3,23.5,8.6,
Dioscorea pentaphylla,,climber_herbaceous,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,,,,77.5,30,,,,,22.4,6,
Diplocaulobium glabrum,,herb,perennial,herbaceous,,,,,epiphyte,0.3,,,67.1,12.2,,,,,,,
Dischidia litoralis,,climber_herbaceous,perennial,herbaceous,follicle,dry,AusTraits consensus,,epiphyte,0.5,,,23.6,11.7,,,2.45,1.41,52.4,3,
Drosera finlaysoniana,,herb,annual,herbaceous,capsule,dry,AusTraits consensus,,terrestrial,0.5,0.0284,,69.5,2.47,,,0.458,0.316,,,
Drosera lanata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.4,,,,,,,,,,,
Drynaria quercifolia,,fern,perennial,herbaceous,,,,,,1,,,120,18.7,,,,,,,
Dysoxylum acutangulum,,shrub,perennial,woody,capsule,dry,AusTraits consensus,yellow,,37,,,116,57,,,20,11,63.2,63.2,
Dysoxylum latifolium,,tree,perennial,woody,capsule,dry,AusTraits consensus,brown orange,,15,2200,,110,67.1,,,26,13,38.7,37.4,
Dysoxylum oppositifolium,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange,,15,1000,77.3,117,43.9,10600,29.1,18.9,13,24.5,27.8,0.736
Elaeis guineensis,,palmoid,perennial,semi-woody,,,,,,20,1707.8346030229156,,,,,,,,,,
Elattostachys rubrofructus,,tree,perennial,woody,,,,,,,,,,,,,,,,,
Endiandra glauca,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue,,20,,,79.4,30,,,17.3,9.38,19.6,12.5,0.524
Entada phaseoloides,,climber_woody,perennial,woody,legume,dry,AusTraits consensus,,,30,,73.5,68.7,37.8,3590,34.6,49,45.3,1270,86.6,0.366
Entada rheedei,,climber_woody,perennial,woody,legume legume_indehiscent,dry,AusTraits consensus,,,,9440,,57,21.4,1820,,40.3,41.4,2000,102,
Epipremnum pinnatum,,climber_herbaceous,perennial,herbaceous,berry multiple_fruit,fleshy,AusTraits consensus,green,,37,18,35.1,,,46400,26.6,,,385,45,
Eremochloa ciliaris,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,0.95,,,104,2.45,,,,,,,
Eriachne squarrosa,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.9,1.8,,219,3.87,540,,2.3,,2.3,,
Eriocaulon clarksonii,,herb,annual perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.26,,,43.6,2.45,,,0.524,0.324,,,
Eulalia mackinlayi,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2.5,,,229,2.45,525,,,,,,
Euonymus australianus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,8,,,63.2,34.6,,,4.9,3.87,10.8,11.4,
Everistia vacciniifolia,,shrub tree,perennial,woody,drupe pyrene,fleshy,AusTraits consensus,black,,7,,64.2,6.81,3.9,79.1,,2.06,1.86,5.04,5.04,0.678
Fagopyrum esculentum,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,brown,,0.6,23.22881123156001,,43.8,31.6,,,,,5.18,,
Faradaya splendida,,climber_woody,perennial,woody,drupe mericarp,fleshy,AusTraits consensus,white yellow,,41,5760,37.7,174,86.1,33900,,43.7,26.5,65.7,49,
Fimbristylis aestivalis,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,yellow,,0.2,0.0464,,,0.488,,,,,0.592,0.447,
Fimbristylis bisumbellata,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,yellow,,0.25,0.0597,,,1.41,,,,,0.648,0.447,
Fimbristylis cymosa,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,0.8,0.0859,,,,,,,,,,
Fimbristylis furva,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,,,,,,,,,,,,
Fimbristylis insignis,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,,,,,,,,,,,,
Fimbristylis littoralis,,graminoid,annual,herbaceous,nut,dry,Inferred from fruit type,white,,0.7,0.0356,,,,,,,,0.671,0.387,
Fimbristylis modesta,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,,,,,,,,,,,,
Fimbristylis recta,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,,,,,,,,,,,,
Ganophyllum falcatum,priority,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,red,,25,50.4,112,53.4,27.4,2360,19.4,7.44,4.9,12.2,7.82,0.679
Garcinia dulcis,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,yellow,,20,,,153,72.1,,,24.5,8.94,41.8,48.1,
Garcinia warrenii,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black blue purple red,,25,,,114,53.6,,,33.5,21.6,44.1,52.8,
Germainia capitata,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,0.9,,,163,5.2,,,,,,,
Glinus oppositifolius,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.1,0.0346,,14,5.65,,,0.5,,2.96,,
Globba marantina,,herb,perennial,herbaceous,berry capsule,dry fleshy,Inferred from fruit type,,,0.3,,,150,50,,,,,,,
Glochidion disparipes,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,20,,,67.7,29.1,,,6,2.45,6.32,11.7,
Glossocarya hemiderma,,climber_woody,perennial,woody,capsule mericarp,dry,AusTraits consensus,brown grey,,6,1.64,,54.4,34.6,,,6.48,1.41,7.75,3.12,
Gnetum gnemon,,tree,perennial,woody,,,,,,15,237.96849732169176,78.04438691418817,,,,,,,,,
Gomphandra australiana,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,pink,,20,830,70.6,177,65.4,11000,21.2,20.3,10.4,22.4,13.4,0.454
Gompholobium nitidum,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,,,,,,,,,,,,
Gonocarpus acanthocarpus,,herb,perennial,herbaceous,nut,dry,AusTraits consensus,,,0.45,0.411,,27.4,,,,,,1.29,,
Goodenia debilis,,herb,annual,herbaceous,,,,,,0.4,,,,,,,,,,,
Gossia floribunda,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,15,,,38.7,20,,,4.47,4.47,8.49,8.12,
Gossypium barbadense,,shrub,annual perennial,semi-woody,capsule,dry,Inferred from fruit type,,,15,103.69316840350514,,120,69.3,,,6.93,,42.4,,
Grastidium luteocilium,,herb,perennial,herbaceous,,,,,,,,,98,42.4,,,,,,,
Grewia australis,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,,,4,,,72.1,31.6,,,5.92,2.45,7.75,7.75,
Grewia breviflora,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,black,,9,,,60.8,35.7,,,5.29,2.45,7.07,7.14,
Grewia papuana,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,15,,,82.5,27.4,,,5.48,4.47,7.07,9.17,
Grewia retusifolia,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,,,1.5,56.2,144,79.9,30.2,1460,10.7,5.92,4.47,7.75,14.4,
Pecteilis elongata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.7,,,81.1,19.7,,,,,,,
Pecteilis vatia,,herb,perennial,herbaceous,,,,,terrestrial,,,,77.5,13.4,,,,,,,
Haemodorum brevicaule,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.3,,288,167,1.19,,9.75,,,3,5.48,
Halfordia kendack,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue purple,,30,11.000000000000002,118,85.9,26.5,3130,16,5,5.48,10.4,9.32,0.894
Polyalthia fruticosa,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,,,3,,,91.2,27.4,,,6.93,6,8.77,7.94,
Helicia australasica,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,black blue purple,,20,,114,132,50.2,2820,11.8,8.49,5.66,10.8,6.74,
Heteropogon triticeus,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.6,11.4,76.8,400,6.93,808,6.51,,,,,
Hibiscus meraukensis,,herb,annual perennial,semi-woody,capsule,dry,AusTraits consensus,,,3,11.3,,87.4,75.2,,23.9,3.77,3.03,13.1,12,
Hibiscus sabdariffa,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,2,28.1916144899112,,91,43.4,,,4.18,3.97,18.4,14,
Horsfieldia australiana,,tree,perennial,woody,capsule,dry,AusTraits consensus,yellow,,15,,,159,49.6,,,16.7,11,23.3,14.6,
